CA,GEOG,Crime_Rate,unemployment_rate,rent_to_income,economic_vitality_index,vacancy_rate,disability_rate,gentrification_risk,vacant_land_pct,income_diversity,low_income_pct
15,Portage Park,494.9381148841638,0.05417433586989353,0.17919014256096957,0.6434615884878734,0.09089112042381557,0.10404435238970286,0.20786491606622945,0.0047339085545354,0.8238151585843029,0.1242009132420086
16,Irving Park,520.5621871390066,0.05889411981907118,0.17783000715484393,0.7110996187489311,0.06594770402704642,0.08155419528217363,0.2346112671863488,0.0035107092047494,0.8219859923754589,0.1264088701548606
17,Dunning,366.19000162236074,0.05318332907184841,0.17247341228946886,0.592804384709179,0.051191940490833185,0.0986282707755905,0.20147058597407164,0.0105176684119271,0.8283383300318368,0.14624359528365857
18,Montclare,428.3730296507187,0.04004528088297665,0.22527488638029639,0.5038232910346526,0.0747572815533966,0.13941155103523328,0.306078689797466,0.008910454928129,0.8282352630286713,0.20314795383000622
19,Belmont Cragin,567.6813968969226,0.04648113459994636,0.22654164939594865,0.477951942793748,0.06735667502223633,0.10529659012582597,0.2617830275863037,0.005250184922352,0.8252020759396266,0.18016299635859123
20,Hermosa,598.9111462056354,0.05492470000805303,0.21274357591161985,0.522990709883798,0.07918945798110294,0.09370816599732222,0.22293213013687188,0.0042047915111642,0.8247290660524651,0.1490481976508688
21,Avondale,592.9337783048791,0.05583883641227094,0.19541940048353026,0.7268070323177142,0.09054845412757326,0.07978226205531401,0.2989056870922715,0.0092472728957263,0.8203978893620617,0.11528075884511448
22,Logan Square,662.1223749389521,0.043731115763189866,0.20452147873194187,0.7993546665132749,0.09005010737294175,0.05940719564346045,0.34826326136444724,0.0152187968928876,0.8083835375443441,0.1248898678414093
23,Humboldt Park,1357.4079202436997,0.10326811515872121,0.28060024667189143,0.4444664933957584,0.08285267377065167,0.13149631875270656,0.354095428582488,0.0636350519521794,0.8111958554407076,0.25038639876352264
24,West Town,827.1835590845399,0.03473668461930357,0.17810598691476695,0.914919863470229,0.06802489324975,0.05540018149455545,0.3524049436110124,0.0217327388185141,0.740976751924813,0.09823800355811152
25,Austin,1473.4819847344056,0.145438686735401,0.3297669963270834,0.31741817946195605,0.09517879380893055,0.17554934079105056,0.39483020422691223,0.0489236759235444,0.7789904799265387,0.35152519521375103
26,West Garfield Park,2890.437675672575,0.19897360703812025,0.36191462014361375,0.20767815525604266,0.2173222089789403,0.2267619396604359,0.43048979081198707,0.156278313076924,0.730630065763678,0.42182741116750555
27,East Garfield Park,2219.8379351740696,0.17236566643405243,0.4219260257958275,0.28207387744149176,0.14348683447395727,0.17712677754886602,0.5793439168837291,0.135325219437876,0.7318025108313089,0.43702600216684134
28,Near West Side,1323.5367775960874,0.06117251209196892,0.23500801917515568,0.7973792022199065,0.09691163775098137,0.09103246367088014,0.42942340947838875,0.0601736048047259,0.7833845497330216,0.17869807888001427
29,North Lawndale,2281.485313559809,0.1523490468214074,0.4146118106223896,0.2546885078804446,0.19377777777777644,0.19500805682528136,0.534956971777557,0.147982778345787,0.740158400541836,0.42278008650665405
30,South Lawndale,592.4032549475484,0.09879762422135269,0.2701186490061604,0.31387281028824665,0.08133078463498962,0.09981637688644043,0.2753595336374407,0.0635475651141451,0.7816926229012815,0.2599455040871922
31,Lower West Side,768.9846226778466,0.07429313329486405,0.20734340216485894,0.5946388451725683,0.08785984108375611,0.11326927008791625,0.2620748782974282,0.0367989101561643,0.8302586685201069,0.18429132452695335
32,The Loop,2027.6845240909736,0.06244009311241935,0.23885697268481226,0.8962495414380041,0.13358821970700635,0.0671690144224999,0.4727222486316407,0.01483707708767,0.7615051268300922,0.10734882908074053
33,Near South Side,729.2932800833478,0.01857405945803726,0.21553072734534076,0.9058254727003705,0.05398607942913931,0.07361071732350413,0.4322286304881494,0.0761701974790444,0.7404950329259847,0.12928156300234864
34,Armour Square,745.5003599712023,0.08358923538323965,0.22117347149869818,0.3836334877238754,0.05720473464900962,0.16199619858389408,0.3781898254661687,0.0210488776481663,0.7881779281622572,0.35298723305536167
35,Douglas,1312.7987777832536,0.1343370005790375,0.3150039196306816,0.4127156687005819,0.07717381728482003,0.1809412315616943,0.4250666485933726,0.110548117432389,0.7858151275055435,0.3483532219570373
36,Oakland,1059.2734225621414,0.21489051094889883,0.3718252915429251,0.3465560169773531,0.05592286501377256,0.13816826716353536,0.6734427755836125,0.0985189461986901,0.7124733988634171,0.4715494601692305
37,Fuller Park,3011.297234125438,0.30774500407610433,0.41354799276743626,0.015557099894880005,0.25464688941544067,0.2795478061501511,0.5868165980293766,0.117948630852902,0.4777606817897456,0.7001313050912911
38,Grand Boulevard,1365.0006100288747,0.1541336180597914,0.29566641896912793,0.4269463088215177,0.09018726591760232,0.17486801273525904,0.4414684957858481,0.188864212570724,0.7867277911812811,0.3546023382183406
39,Kenwood,824.4402594685081,0.10332938260963147,0.261204397670592,0.5672017026465788,0.1040114870322166,0.1642968288887688,0.36374474554835073,0.0231687576406623,0.8143847062351082,0.27413862179486903
40,Washington Park,1941.1348075863698,0.15905898876404215,0.48922424346729376,0.28221727878581526,0.13938702314965537,0.17265081675561886,0.6635734990110436,0.158577570860237,0.6930037386104049,0.4930858117067533
41,Hyde Park,643.8077131993482,0.05879518072289122,0.2829117131966623,0.6633457261685438,0.08010689205145684,0.10545011671572074,0.3947501849453387,0.0023440859259898,0.8199233439478882,0.236049182542898
42,Woodlawn,1432.343909928352,0.16287641511635484,0.43233165396827866,0.30240002320663506,0.18746046805818953,0.17952933331458756,0.6151725039322795,0.0899339411680335,0.7303722689612984,0.4446823002821792
43,South Shore,1566.1744270070963,0.16096623275337207,0.3226381721849521,0.365544542528894,0.15512713764170835,0.17597898734525472,0.35000299585822714,0.0459583004543333,0.7764204120744709,0.32977029793040585
44,Chatham,1933.8379060233365,0.1527813653411488,0.29606585347441605,0.365251303697475,0.13461996093896192,0.18975475955809717,0.313284008945403,0.0342557731886619,0.7784612854710554,0.32802219741667726
45,Avalon Park,1302.2837809262,0.12048499515461836,0.2481341939375091,0.4447633544171521,0.14460134849788045,0.1948902624342964,0.25803078205124397,0.0266098365070989,0.8199016477103279,0.24005665706445703
46,South Chicago,1574.029304029304,0.16538789428814887,0.2549798628078385,0.3594463941955486,0.2143005756293764,0.11832426191654258,0.24113828630958922,0.263315194509636,0.7923242878613054,0.3091181922499752
47,Burnside,1423.8227146814404,0.16235059760954557,0.20762506070908154,0.37785086191626827,0.2049441786283728,0.24577025823685458,0.1702926088739173,0.0836012356689756,0.7822665589547413,0.20561685055163434
48,Calumet Heights,1067.9248166259167,0.07890039271688541,0.21309018084718936,0.5094676131130111,0.10287197793282325,0.16389509390253856,0.2033098508795496,0.0627510499454321,0.8311059910321479,0.20582383794537518
49,Roseland,1629.843363561418,0.1862681266646926,0.2875844121562519,0.3583712050243736,0.21010319858600715,0.1824514756713635,0.2911507590716699,0.0557186212869362,0.8061365229577993,0.26338963476252153
50,Pullman,1582.991202346041,0.13234121711400126,0.23816133025880976,0.46609658190070796,0.1336161187698798,0.12806301050174843,0.19729461567280915,0.0989384626623581,0.803171100946994,0.22705018359852427
51,South Deering,1281.5313718539526,0.14943173845937774,0.357915896998217,0.3079871359219222,0.12784810126582077,0.14417137600210184,0.3695920882190304,0.0723904594991731,0.7616238669660792,0.3864296081277143
52,East Side,548.7018965199779,0.07225275537513638,0.18678491282431733,0.47270422712432475,0.07403265385620705,0.08838798950917068,0.13474110193033,0.0511474904372934,0.8146022483416462,0.15092142685460871
53,West Pullman,1457.5927060986821,0.19296330506339582,0.2998484293036681,0.35216523459346183,0.18573513003175535,0.17218751227946022,0.332412582504489,0.0953001668495843,0.8040466219583932,0.28101612733213577
54,Riverdale,1727.6232442853209,0.2739036664270211,0.3007087183607861,0.12201718599518219,0.07832651777288209,0.08225662018677136,0.31278132598876823,0.105653336117769,0.6117976912952077,0.5491467576791621
55,Hegewisch,622.2200059838436,0.1092681610418493,0.22906754833465323,0.4324289263707748,0.11651031994567913,0.07180205321940217,0.23528577449991564,0.11815692931378,0.8123703739299398,0.276484349840209
56,Garfield Ridge,555.1511047151442,0.04982301834173523,0.15902893946565058,0.6016486981480551,0.03428138035646542,0.11161781269745305,0.13059305688799366,0.0283575997935015,0.8173191705047227,0.12502945103274857
57,Archer Heights,626.7962806424346,0.1325500828437998,0.19407850730505166,0.4156313073114897,0.06767232348627555,0.06086392154034715,0.16168495372414987,0.0172272689085465,0.8178717838656817,0.2116853932584222
58,Brighton Park,496.5929016935609,0.09521491505622308,0.22596239592805795,0.4254536303772385,0.0758110014104367,0.09930639395876216,0.21411051570335177,0.0321540564970105,0.8093167838028246,0.1964135826020588
59,McKinley Park,583.7467813854173,0.07720950607819431,0.19579746070388504,0.5927821358617034,0.06666666666666556,0.11854770980037393,0.2210440775046377,0.12645652228273,0.8230562963551539,0.12540078375489624
60,Bridgeport,452.79211916206754,0.06535516209451137,0.20470288426757435,0.5936477269170319,0.05409467447704716,0.10724743529233755,0.2814470795681388,0.0482167426792331,0.8310635106946433,0.1836848728481927
61,New City,979.3022829375631,0.13240485006175004,0.2762711180595085,0.33298370454657633,0.1304917110624571,0.11851352059507596,0.28667966394166655,0.0951788776710782,0.7839094698946488,0.33329193949144414
62,West Elsdon,517.7775361530934,0.10176168070904802,0.20709514128044415,0.4817794627644051,0.04065040650406434,0.09229010127409294,0.18223116701467795,0.0116465833909894,0.8280530576060052,0.179769203029207
63,Gage Park,546.2822458270106,0.15921503873999646,0.23309198762168784,0.37197992823831166,0.06752964605775262,0.09279061745429432,0.21681055728445825,0.0150219444887375,0.8022421247053384,0.2132802640520317
64,Clearing,404.40485432926084,0.08402898094187995,0.18897303396869672,0.5572604289987949,0.046337817638265576,0.08670333225493333,0.1967161106046471,0.0150036350279304,0.8253878535720692,0.13110165696372447
65,West Lawn,522.3991444358625,0.11170624677336015,0.18250673838363735,0.4820607251745256,0.03721488595438138,0.08173283426397472,0.15623928647500182,0.0295711810128697,0.8291068359856836,0.1628221113881945
66,Chicago Lawn,968.6756896890812,0.1710941017559651,0.27956598317183673,0.32661760890735553,0.09216851899715642,0.11859560841720014,0.2971652182612973,0.0277636504780582,0.7903187926028207,0.2727479785901363
67,West Englewood,2032.5833979829326,0.20984580021070579,0.4361175373087652,0.20564228205248244,0.22272331671809303,0.18492938072326484,0.47368718000591414,0.156709799563411,0.7217272364958836,0.4207043973941325
68,Englewood,2334.851655792195,0.2243177279786973,0.42155098994526286,0.18961222457083945,0.2970471236230087,0.23561605388717266,0.474507608245428,0.20531125782273,0.6996740947094079,0.4651213407334806
69,Greater Grand Crossing,2034.0631057163737,0.17080885675553417,0.31561905977971033,0.30317862943878104,0.20681418154387599,0.20189024179917836,0.33726311136845066,0.0608078591704275,0.7674779122961669,0.370185449358057
70,Ashburn,558.615991045793,0.10043566926214266,0.20134617321827203,0.5219504955669612,0.021581165528266083,0.11299567200842177,0.2108613136907172,0.0115618383728271,0.8283548013864415,0.14407723728184074
71,Auburn Gresham,1567.5832256339409,0.19222232944128056,0.2924168514412409,0.31521030784620363,0.14570325532624687,0.196974261857622,0.31973024500036346,0.0538184222067897,0.7836085209584134,0.3298370899352805
72,Beverly,461.32720826883707,0.07430694484138255,0.09741536887114546,0.8132640358456568,0.08142272896269573,0.10525251503968402,0.040638536517314916,0.0037383853145238,0.7368668433126848,0.061117107393415256
73,Washington Heights,1216.7963295431875,0.1243179122182671,0.20325859967138368,0.46556342712425053,0.10694638694638595,0.18827487148472866,0.18441219766728809,0.0229151592850009,0.8277674297187232,0.1982668615577344
74,Mount Greenwood,296.91861713549497,0.06134004403900533,0.1456319905117643,0.7210561677085606,0.039394345437491096,0.10940850373934362,0.1467809936061161,0.0013802133833501,0.7821080522509047,0.0846701074068896
75,Morgan Park,919.5695270461625,0.08954374944950859,0.24007952601528376,0.5543478562860175,0.06292302570023159,0.12508734133172214,0.2937926378242862,0.030860988760695,0.8276749143588584,0.18529349779241877
76,O'Hare,1251.0806379490239,0.044047789559985846,0.2358085258224515,0.6496924208968243,0.03370183690045119,0.07400145587713,0.27856356884500194,4.01998812523916e-05,0.817950770872708,0.11859684040303338
77,Edgewater,484.7946568139832,0.06876447122492797,0.22511047177188379,0.6631811280607279,0.10084546592192382,0.10791636214549259,0.27463343759485326,0.0050125865694148,0.8303747136713339,0.18863505210631662
